RespSex,Q6_1,age_dv,age_dv_grouped,marstat2,religion_dv,workstat2,wimd_2014_quintile
1,1.0,5,55+,1,1.0,2.0,3.0
1,2.0,5,55+,1,3.0,1.0,3.0
1,3.0,4,25-54,2,1.0,1.0,2.0
1,1.0,1,16-24,2,1.0,1.0,3.0
1,4.0,7,55+,1,1.0,2.0,4.0
2,2.0,7,55+,1,1.0,2.0,5.0
2,2.0,4,25-54,2,1.0,1.0,5.0
2,3.0,3,25-54,2,1.0,1.0,4.0
2,3.0,6,55+,1,3.0,2.0,3.0
1,2.0,7,55+,2,1.0,2.0,3.0
2,2.0,6,55+,1,1.0,1.0,4.0
1,2.0,6,55+,1,1.0,1.0,4.0
2,2.0,3,25-54,1,3.0,1.0,5.0
1,1.0,5,55+,1,,1.0,5.0
1,1.0,7,55+,1,1.0,2.0,4.0
2,2.0,5,55+,2,1.0,1.0,4.0
1,1.0,3,25-54,2,1.0,1.0,5.0
2,1.0,7,55+,2,1.0,2.0,4.0
2,2.0,4,25-54,1,3.0,1.0,4.0
2,1.0,1,16-24,2,1.0,1.0,3.0
2,1.0,2,25-54,1,1.0,1.0,4.0
2,3.0,5,55+,1,1.0,2.0,4.0
1,1.0,1,16-24,2,1.0,1.0,5.0
1,,1,16-24,2,,,5.0
2,3.0,4,25-54,1,1.0,3.0,3.0
1,3.0,4,25-54,2,1.0,3.0,3.0
2,3.0,1,16-24,2,1.0,3.0,3.0
2,2.0,3,25-54,2,3.0,1.0,5.0
2,4.0,5,55+,2,3.0,3.0,3.0
1,3.0,5,55+,2,1.0,1.0,4.0
1,2.0,2,25-54,2,3.0,1.0,4.0
1,1.0,4,25-54,1,3.0,1.0,5.0
1,2.0,4,25-54,1,3.0,3.0,3.0
1,3.0,5,55+,1,3.0,1.0,5.0
2,2.0,3,25-54,1,,1.0,5.0
2,1.0,2,25-54,2,1.0,1.0,5.0
2,1.0,3,25-54,2,,1.0,4.0
2,2.0,1,16-24,2,1.0,3.0,2.0
2,2.0,2,25-54,1,3.0,3.0,4.0
2,2.0,3,25-54,1,,1.0,4.0
1,1.0,3,25-54,2,2.0,1.0,5.0
2,1.0,1,16-24,2,3.0,1.0,5.0
2,1.0,4,25-54,1,1.0,1.0,5.0
1,1.0,3,25-54,1,1.0,1.0,5.0
1,1.0,4,25-54,1,1.0,1.0,5.0
2,1.0,4,25-54,2,1.0,1.0,4.0
2,1.0,3,25-54,2,1.0,1.0,4.0
2,2.0,6,55+,1,1.0,1.0,5.0
1,2.0,4,25-54,1,3.0,1.0,5.0
1,2.0,4,25-54,1,3.0,1.0,5.0
2,3.0,4,25-54,1,1.0,1.0,5.0
2,1.0,4,25-54,1,1.0,1.0,4.0
1,2.0,4,25-54,1,3.0,1.0,5.0
1,2.0,3,25-54,2,,1.0,3.0
2,1.0,1,16-24,2,3.0,1.0,4.0
1,1.0,2,25-54,1,1.0,1.0,5.0
1,2.0,5,55+,1,1.0,3.0,4.0
2,1.0,2,25-54,2,3.0,1.0,5.0
1,3.0,7,55+,1,1.0,2.0,5.0
1,2.0,6,55+,1,1.0,2.0,5.0
1,1.0,4,25-54,1,3.0,1.0,5.0
1,1.0,6,55+,1,1.0,1.0,4.0
2,2.0,1,16-24,2,3.0,1.0,5.0
1,1.0,6,55+,2,1.0,1.0,4.0
1,1.0,4,25-54,1,,1.0,5.0
1,3.0,6,55+,1,,3.0,2.0
1,2.0,6,55+,1,3.0,2.0,4.0
1,1.0,6,55+,1,1.0,1.0,4.0
1,1.0,2,25-54,1,1.0,1.0,5.0
2,1.0,3,25-54,1,3.0,1.0,5.0
1,1.0,1,16-24,2,1.0,3.0,5.0
2,1.0,3,25-54,1,1.0,1.0,5.0
1,1.0,5,55+,1,1.0,2.0,3.0
1,2.0,2,25-54,2,,1.0,3.0
2,1.0,1,16-24,2,1.0,3.0,3.0
2,1.0,3,25-54,1,3.0,1.0,3.0
1,1.0,3,25-54,2,3.0,1.0,5.0
1,1.0,2,25-54,2,3.0,1.0,5.0
2,3.0,6,55+,2,1.0,2.0,4.0
1,,1,16-24,2,,,5.0
2,1.0,3,25-54,2,,3.0,5.0
1,3.0,7,55+,1,1.0,2.0,4.0
1,1.0,3,25-54,1,1.0,1.0,5.0
2,1.0,4,25-54,2,1.0,1.0,2.0
2,2.0,4,25-54,1,1.0,1.0,2.0
2,3.0,4,25-54,2,1.0,3.0,2.0
1,4.0,5,55+,2,1.0,3.0,3.0
1,1.0,3,25-54,2,1.0,1.0,5.0
2,2.0,4,25-54,1,1.0,1.0,5.0
1,1.0,1,16-24,2,1.0,1.0,4.0
1,1.0,6,55+,1,1.0,2.0,4.0
1,1.0,3,25-54,1,3.0,1.0,5.0
1,1.0,3,25-54,1,1.0,1.0,5.0
2,1.0,5,55+,1,1.0,1.0,5.0
2,2.0,7,55+,2,1.0,2.0,5.0
1,2.0,3,25-54,2,1.0,1.0,4.0
2,2.0,4,25-54,1,1.0,1.0,4.0
1,2.0,4,25-54,1,1.0,1.0,4.0
2,2.0,6,55+,2,1.0,2.0,4.0
2,3.0,7,55+,1,1.0,2.0,5.0
2,2.0,3,25-54,1,1.0,1.0,4.0
1,3.0,5,55+,1,3.0,1.0,3.0
2,1.0,3,25-54,2,1.0,1.0,4.0
1,2.0,7,55+,2,1.0,2.0,4.0
1,2.0,3,25-54,2,1.0,1.0,3.0
1,1.0,3,25-54,1,1.0,1.0,5.0
1,2.0,2,25-54,2,3.0,1.0,3.0
1,1.0,4,25-54,1,,1.0,5.0
1,1.0,5,55+,1,1.0,1.0,5.0
1,1.0,1,16-24,2,3.0,3.0,5.0
1,1.0,2,25-54,1,3.0,1.0,5.0
1,3.0,3,25-54,1,,1.0,5.0
1,1.0,3,25-54,1,3.0,1.0,5.0
2,2.0,3,25-54,2,3.0,1.0,5.0
2,2.0,6,55+,1,1.0,2.0,4.0
2,3.0,4,25-54,2,1.0,1.0,5.0
1,1.0,4,25-54,1,1.0,1.0,5.0
1,2.0,2,25-54,2,,1.0,5.0
1,2.0,2,25-54,2,3.0,1.0,5.0
1,2.0,5,55+,2,1.0,1.0,5.0
2,1.0,2,25-54,2,3.0,1.0,4.0
1,3.0,6,55+,1,1.0,2.0,3.0
2,3.0,5,55+,2,1.0,3.0,3.0
2,2.0,1,16-24,2,3.0,3.0,3.0
2,4.0,4,25-54,2,1.0,3.0,3.0
2,1.0,4,25-54,1,1.0,1.0,4.0
1,2.0,1,16-24,2,3.0,1.0,5.0
2,2.0,6,55+,1,1.0,2.0,5.0
1,1.0,4,25-54,2,1.0,1.0,5.0
1,1.0,2,25-54,2,1.0,1.0,5.0
1,1.0,1,16-24,2,1.0,1.0,5.0
2,2.0,6,55+,2,1.0,1.0,5.0
2,1.0,3,25-54,1,1.0,1.0,5.0
2,1.0,2,25-54,1,3.0,3.0,5.0
1,1.0,1,16-24,2,1.0,3.0,4.0
1,3.0,4,25-54,2,,3.0,2.0
1,1.0,3,25-54,1,1.0,1.0,5.0
2,1.0,2,25-54,1,1.0,3.0,5.0
1,2.0,3,25-54,1,3.0,1.0,5.0
1,2.0,1,16-24,2,3.0,3.0,3.0
1,1.0,6,55+,1,,2.0,5.0
1,1.0,2,25-54,2,1.0,1.0,5.0
1,2.0,2,25-54,2,3.0,1.0,4.0
2,2.0,3,25-54,1,3.0,1.0,5.0
2,2.0,3,25-54,2,3.0,1.0,4.0
2,2.0,6,55+,2,1.0,2.0,5.0
1,3.0,7,55+,1,1.0,2.0,4.0
2,3.0,7,55+,1,1.0,2.0,3.0
2,1.0,7,55+,1,1.0,1.0,3.0
2,2.0,2,25-54,2,1.0,1.0,5.0
1,1.0,5,55+,2,3.0,1.0,4.0
2,1.0,1,16-24,2,1.0,3.0,5.0
1,1.0,1,16-24,2,3.0,1.0,5.0
1,2.0,6,55+,1,1.0,2.0,5.0
2,2.0,2,25-54,2,1.0,1.0,4.0
2,1.0,1,16-24,2,1.0,3.0,4.0
1,3.0,6,55+,2,1.0,3.0,3.0
2,2.0,5,55+,1,1.0,1.0,5.0
2,2.0,4,25-54,1,1.0,1.0,5.0
1,1.0,1,16-24,2,3.0,1.0,3.0
2,4.0,7,55+,1,1.0,2.0,3.0
2,1.0,2,25-54,1,1.0,1.0,5.0
2,2.0,3,25-54,2,1.0,1.0,4.0
1,1.0,6,55+,1,1.0,2.0,5.0
1,2.0,5,55+,1,1.0,1.0,5.0
2,2.0,5,55+,1,1.0,3.0,3.0
1,2.0,4,25-54,1,1.0,1.0,4.0
2,1.0,5,55+,2,1.0,1.0,4.0
2,1.0,2,25-54,1,1.0,1.0,5.0
1,2.0,5,55+,2,1.0,1.0,4.0
1,3.0,5,55+,1,3.0,1.0,5.0
1,1.0,3,25-54,2,3.0,3.0,2.0
2,2.0,2,25-54,1,1.0,1.0,5.0
1,2.0,4,25-54,1,1.0,1.0,5.0
2,3.0,4,25-54,1,1.0,3.0,3.0
2,2.0,2,25-54,1,3.0,3.0,5.0
1,1.0,4,25-54,1,3.0,1.0,5.0
2,1.0,5,55+,1,1.0,1.0,5.0
1,2.0,3,25-54,2,1.0,1.0,5.0
1,1.0,3,25-54,1,1.0,1.0,4.0
2,2.0,2,25-54,2,1.0,1.0,4.0
2,2.0,1,16-24,2,1.0,1.0,5.0
2,1.0,5,55+,1,,1.0,5.0
1,1.0,2,25-54,1,1.0,1.0,5.0
1,2.0,4,25-54,1,1.0,1.0,5.0
1,1.0,1,16-24,2,1.0,1.0,5.0
2,3.0,5,55+,1,1.0,3.0,3.0
1,2.0,4,25-54,2,1.0,1.0,4.0
2,3.0,7,55+,1,1.0,2.0,3.0
1,2.0,3,25-54,1,1.0,1.0,4.0
1,2.0,2,25-54,1,,1.0,4.0
1,2.0,2,25-54,2,1.0,3.0,4.0
2,1.0,5,55+,1,1.0,1.0,4.0
1,,1,16-24,2,,,5.0
2,2.0,1,16-24,2,3.0,1.0,3.0
1,3.0,3,25-54,1,1.0,1.0,5.0
2,5.0,4,25-54,1,1.0,3.0,3.0
1,1.0,5,55+,1,1.0,1.0,4.0
1,1.0,4,25-54,1,1.0,1.0,5.0
1,1.0,1,16-24,2,1.0,1.0,5.0
1,2.0,2,25-54,2,3.0,1.0,5.0
2,1.0,2,25-54,2,1.0,1.0,4.0
2,2.0,2,25-54,2,3.0,1.0,4.0
2,2.0,6,55+,2,1.0,1.0,4.0
1,4.0,6,55+,1,1.0,2.0,3.0
1,3.0,7,55+,2,1.0,2.0,4.0
2,2.0,3,25-54,2,3.0,1.0,4.0
1,2.0,6,55+,1,1.0,2.0,3.0
1,2.0,4,25-54,2,1.0,1.0,4.0
1,3.0,5,55+,2,1.0,1.0,4.0
2,2.0,1,16-24,2,3.0,3.0,3.0
1,3.0,6,55+,1,1.0,2.0,3.0
1,2.0,3,25-54,1,1.0,1.0,4.0
1,1.0,4,25-54,2,1.0,1.0,3.0
1,2.0,3,25-54,2,1.0,1.0,3.0
1,3.0,2,25-54,2,3.0,1.0,5.0
1,2.0,3,25-54,1,1.0,3.0,3.0
2,2.0,1,16-24,2,3.0,1.0,5.0
1,1.0,3,25-54,1,1.0,1.0,3.0
1,1.0,3,25-54,1,1.0,1.0,5.0
2,2.0,2,25-54,2,3.0,3.0,2.0
2,5.0,7,55+,2,1.0,2.0,3.0
2,2.0,4,25-54,2,1.0,1.0,5.0
1,3.0,3,25-54,2,1.0,1.0,4.0
2,4.0,7,55+,2,,3.0,3.0
2,3.0,5,55+,2,3.0,3.0,2.0
2,2.0,3,25-54,2,1.0,1.0,3.0
2,2.0,5,55+,1,1.0,2.0,2.0
1,1.0,2,25-54,1,3.0,1.0,5.0
1,1.0,4,25-54,1,1.0,1.0,5.0
2,1.0,4,25-54,1,1.0,1.0,5.0
2,2.0,2,25-54,1,,3.0,3.0
2,2.0,2,25-54,1,1.0,1.0,5.0
2,2.0,6,55+,1,1.0,2.0,5.0
2,1.0,1,16-24,2,1.0,1.0,4.0
1,1.0,1,16-24,2,,1.0,4.0
1,1.0,2,25-54,1,1.0,1.0,5.0
1,2.0,2,25-54,2,1.0,1.0,4.0
2,1.0,3,25-54,2,1.0,1.0,3.0
1,2.0,6,55+,2,1.0,2.0,3.0
2,2.0,5,55+,1,,1.0,4.0
1,,1,16-24,2,,,5.0
2,4.0,7,55+,2,1.0,2.0,4.0
1,1.0,1,16-24,2,3.0,1.0,5.0
1,4.0,6,55+,1,1.0,2.0,3.0
2,4.0,6,55+,1,1.0,2.0,4.0
1,2.0,3,25-54,2,1.0,1.0,4.0
1,2.0,7,55+,1,1.0,2.0,4.0
2,3.0,6,55+,2,1.0,2.0,3.0
2,2.0,1,16-24,2,1.0,1.0,4.0
1,1.0,5,55+,1,3.0,1.0,5.0
1,1.0,2,25-54,2,1.0,1.0,5.0
2,2.0,4,25-54,1,1.0,1.0,5.0
1,2.0,6,55+,1,3.0,2.0,4.0
1,1.0,4,25-54,1,3.0,2.0,5.0
2,1.0,5,55+,1,1.0,1.0,5.0
2,2.0,7,55+,2,1.0,2.0,3.0
2,2.0,5,55+,1,1.0,1.0,4.0
1,3.0,5,55+,2,1.0,1.0,5.0
1,3.0,6,55+,1,3.0,2.0,3.0
2,2.0,3,25-54,2,3.0,1.0,5.0
1,1.0,4,25-54,1,1.0,1.0,5.0
2,1.0,5,55+,1,1.0,3.0,5.0
2,1.0,4,25-54,1,1.0,1.0,5.0
1,1.0,4,25-54,1,1.0,1.0,5.0
2,3.0,6,55+,1,1.0,2.0,5.0
2,3.0,3,25-54,2,3.0,1.0,4.0
2,2.0,5,55+,2,1.0,1.0,3.0
1,4.0,4,25-54,1,1.0,3.0,2.0
1,2.0,4,25-54,2,3.0,3.0,2.0
2,1.0,2,25-54,1,1.0,1.0,5.0
1,1.0,4,25-54,1,1.0,1.0,4.0
2,1.0,4,25-54,2,1.0,1.0,3.0
1,2.0,3,25-54,1,,1.0,5.0
2,3.0,5,55+,2,1.0,3.0,3.0
2,4.0,3,25-54,2,2.0,1.0,4.0
2,1.0,2,25-54,1,3.0,1.0,5.0
1,3.0,7,55+,2,1.0,2.0,3.0
2,2.0,6,55+,2,1.0,2.0,4.0
1,3.0,6,55+,1,3.0,2.0,3.0
1,1.0,4,25-54,1,3.0,1.0,5.0
2,3.0,6,55+,2,1.0,2.0,3.0
1,2.0,2,25-54,1,3.0,1.0,5.0
2,1.0,1,16-24,2,1.0,1.0,5.0
1,3.0,7,55+,1,3.0,2.0,4.0
1,1.0,1,16-24,2,1.0,1.0,4.0
2,2.0,5,55+,1,1.0,1.0,4.0
2,1.0,4,25-54,1,1.0,1.0,5.0
2,3.0,7,55+,2,1.0,2.0,3.0
2,1.0,1,16-24,2,,3.0,5.0
2,1.0,1,16-24,2,3.0,1.0,4.0
2,2.0,5,55+,1,1.0,2.0,5.0
1,4.0,7,55+,1,1.0,2.0,4.0
2,2.0,5,55+,2,1.0,1.0,5.0
1,2.0,4,25-54,1,1.0,1.0,5.0
2,,1,16-24,2,,,3.0
2,2.0,6,55+,1,1.0,2.0,5.0
2,4.0,3,25-54,2,,3.0,3.0
1,1.0,2,25-54,2,1.0,1.0,5.0
1,1.0,2,25-54,2,,3.0,3.0
2,1.0,1,16-24,2,1.0,1.0,5.0
1,1.0,1,16-24,2,1.0,1.0,5.0
2,2.0,1,16-24,2,3.0,1.0,2.0
1,2.0,6,55+,1,1.0,1.0,5.0
2,2.0,2,25-54,2,2.0,1.0,4.0
1,2.0,4,25-54,1,3.0,1.0,5.0
1,1.0,1,16-24,2,1.0,3.0,4.0
1,1.0,1,16-24,2,1.0,1.0,4.0
1,2.0,6,55+,1,1.0,2.0,4.0
2,4.0,7,55+,2,2.0,2.0,4.0
2,4.0,4,25-54,2,1.0,3.0,2.0
1,3.0,4,25-54,2,1.0,1.0,4.0
2,2.0,5,55+,2,1.0,2.0,5.0
2,4.0,4,25-54,2,3.0,3.0,3.0
2,1.0,6,55+,1,1.0,2.0,5.0
1,,1,16-24,2,,,5.0
2,2.0,5,55+,1,1.0,1.0,5.0
1,1.0,4,25-54,1,1.0,1.0,5.0
1,3.0,6,55+,1,1.0,2.0,4.0
1,4.0,4,25-54,2,1.0,1.0,4.0
1,1.0,4,25-54,1,1.0,1.0,5.0
2,1.0,2,25-54,2,,1.0,5.0
2,1.0,1,16-24,2,3.0,1.0,4.0
1,,1,16-24,2,,,5.0
2,1.0,1,16-24,2,3.0,3.0,3.0
1,2.0,4,25-54,2,1.0,3.0,4.0
2,1.0,2,25-54,1,3.0,3.0,2.0
1,1.0,6,55+,1,1.0,2.0,5.0
1,4.0,6,55+,2,1.0,2.0,4.0
2,2.0,2,25-54,2,3.0,3.0,4.0
2,2.0,4,25-54,2,,3.0,5.0
2,2.0,2,25-54,2,3.0,3.0,4.0
2,2.0,4,25-54,1,1.0,3.0,4.0
1,4.0,3,25-54,1,3.0,3.0,2.0
2,3.0,4,25-54,1,1.0,1.0,4.0
1,2.0,5,55+,1,1.0,3.0,2.0
2,1.0,1,16-24,2,1.0,1.0,4.0
2,5.0,6,55+,1,1.0,2.0,3.0
1,2.0,4,25-54,1,1.0,1.0,5.0
2,1.0,3,25-54,2,1.0,1.0,5.0
1,2.0,7,55+,2,3.0,2.0,4.0
2,1.0,4,25-54,1,1.0,1.0,5.0
2,1.0,3,25-54,1,1.0,1.0,5.0
1,1.0,3,25-54,1,1.0,1.0,5.0
1,1.0,3,25-54,2,3.0,1.0,5.0
2,1.0,4,25-54,1,1.0,1.0,5.0
1,3.0,4,25-54,1,1.0,1.0,3.0
1,2.0,3,25-54,2,1.0,1.0,5.0
1,2.0,6,55+,2,1.0,2.0,4.0
1,1.0,1,16-24,2,3.0,3.0,5.0
2,2.0,2,25-54,1,,3.0,5.0
2,1.0,3,25-54,2,1.0,1.0,5.0
1,1.0,1,16-24,2,1.0,1.0,5.0
2,2.0,6,55+,2,1.0,2.0,4.0
2,1.0,4,25-54,1,3.0,3.0,3.0
1,2.0,4,25-54,2,3.0,1.0,5.0
1,2.0,4,25-54,2,1.0,3.0,4.0
1,2.0,5,55+,1,1.0,3.0,4.0
1,3.0,6,55+,1,1.0,2.0,4.0
2,2.0,3,25-54,1,3.0,1.0,5.0
1,3.0,7,55+,1,1.0,2.0,3.0
1,2.0,4,25-54,1,1.0,3.0,3.0
2,1.0,7,55+,2,1.0,2.0,4.0
2,2.0,1,16-24,2,3.0,1.0,4.0
2,1.0,1,16-24,2,3.0,1.0,4.0
2,3.0,5,55+,1,,3.0,2.0
1,3.0,3,25-54,1,1.0,1.0,2.0
1,3.0,4,25-54,1,3.0,1.0,4.0
2,3.0,5,55+,1,,2.0,5.0
1,,1,16-24,2,,,5.0
2,3.0,5,55+,1,1.0,3.0,4.0
1,1.0,2,25-54,2,1.0,1.0,4.0
2,,1,16-24,2,,,4.0
2,2.0,1,16-24,2,,3.0,4.0
2,1.0,4,25-54,2,1.0,1.0,5.0
1,1.0,2,25-54,2,1.0,1.0,5.0
1,4.0,6,55+,1,1.0,2.0,3.0
1,1.0,3,25-54,1,3.0,1.0,4.0
1,2.0,4,25-54,1,1.0,1.0,5.0
1,2.0,4,25-54,2,3.0,1.0,4.0
1,1.0,2,25-54,2,1.0,1.0,5.0
2,4.0,7,55+,2,1.0,2.0,3.0
1,1.0,1,16-24,2,1.0,3.0,5.0
1,3.0,4,25-54,1,,1.0,3.0
2,1.0,1,16-24,2,1.0,1.0,3.0
1,1.0,5,55+,1,3.0,1.0,5.0
2,4.0,6,55+,2,1.0,2.0,4.0
2,3.0,7,55+,2,1.0,2.0,3.0
2,2.0,4,25-54,1,3.0,1.0,5.0
1,,1,16-24,2,,,3.0
2,2.0,6,55+,1,1.0,2.0,3.0
1,1.0,1,16-24,2,3.0,1.0,5.0
2,5.0,5,55+,1,1.0,2.0,3.0
1,3.0,1,16-24,2,,3.0,2.0
1,1.0,5,55+,2,1.0,1.0,4.0
2,2.0,5,55+,1,1.0,1.0,4.0
2,1.0,4,25-54,2,1.0,1.0,5.0
1,1.0,3,25-54,1,1.0,1.0,5.0
2,2.0,5,55+,2,1.0,1.0,4.0
2,1.0,1,16-24,2,1.0,1.0,4.0
2,1.0,4,25-54,1,1.0,1.0,5.0
2,2.0,5,55+,1,1.0,1.0,5.0
2,5.0,7,55+,1,,2.0,3.0
2,3.0,7,55+,2,1.0,2.0,3.0
2,2.0,3,25-54,2,3.0,1.0,5.0
1,4.0,5,55+,2,1.0,3.0,2.0
2,3.0,7,55+,2,3.0,2.0,3.0
2,2.0,1,16-24,2,3.0,3.0,5.0
2,2.0,3,25-54,2,3.0,1.0,4.0
2,2.0,6,55+,1,3.0,2.0,4.0
2,3.0,6,55+,2,1.0,2.0,4.0
2,3.0,7,55+,2,1.0,2.0,3.0
1,1.0,4,25-54,1,1.0,1.0,4.0
1,3.0,6,55+,2,1.0,2.0,3.0
1,1.0,3,25-54,2,1.0,1.0,3.0
1,1.0,1,16-24,2,1.0,1.0,5.0
1,3.0,6,55+,1,1.0,2.0,4.0
1,1.0,4,25-54,1,1.0,1.0,3.0
1,3.0,6,55+,1,1.0,2.0,4.0
2,1.0,6,55+,2,1.0,2.0,4.0
2,2.0,3,25-54,1,1.0,1.0,5.0
1,2.0,2,25-54,2,3.0,1.0,4.0
2,2.0,6,55+,1,1.0,2.0,4.0
1,1.0,5,55+,1,1.0,2.0,5.0
2,2.0,4,25-54,1,1.0,1.0,5.0
1,1.0,3,25-54,2,,1.0,4.0
1,1.0,4,25-54,1,1.0,1.0,5.0
1,2.0,5,55+,1,3.0,2.0,5.0
2,2.0,6,55+,1,1.0,2.0,5.0
1,4.0,4,25-54,2,1.0,3.0,2.0
1,2.0,4,25-54,1,1.0,1.0,4.0
1,1.0,2,25-54,2,,1.0,2.0
2,2.0,3,25-54,1,1.0,3.0,5.0
1,2.0,5,55+,2,1.0,1.0,5.0
2,2.0,3,25-54,2,1.0,1.0,5.0
1,2.0,1,16-24,1,2.0,1.0,4.0
1,1.0,3,25-54,2,2.0,1.0,4.0
2,2.0,5,55+,1,1.0,1.0,5.0
2,1.0,3,25-54,1,1.0,1.0,5.0
1,1.0,1,16-24,2,3.0,1.0,2.0
2,1.0,1,16-24,2,1.0,3.0,3.0
2,1.0,4,25-54,1,1.0,1.0,3.0
2,2.0,2,25-54,2,1.0,1.0,4.0
1,1.0,2,25-54,2,1.0,1.0,5.0
2,1.0,5,55+,1,1.0,1.0,4.0
2,1.0,4,25-54,1,1.0,1.0,2.0
2,4.0,5,55+,1,1.0,2.0,4.0
2,2.0,3,25-54,1,,1.0,4.0
2,3.0,5,55+,2,1.0,1.0,4.0
1,3.0,6,55+,2,1.0,2.0,3.0
1,1.0,2,25-54,2,1.0,1.0,5.0
2,1.0,4,25-54,2,1.0,1.0,4.0
1,1.0,1,16-24,2,1.0,1.0,4.0
1,1.0,6,55+,1,1.0,2.0,3.0
1,1.0,2,25-54,1,1.0,1.0,5.0
2,2.0,3,25-54,2,1.0,3.0,5.0
2,3.0,1,16-24,2,3.0,3.0,3.0
2,1.0,2,25-54,2,3.0,3.0,3.0
2,2.0,7,55+,2,1.0,2.0,3.0
2,1.0,2,25-54,2,3.0,1.0,4.0
2,2.0,1,16-24,2,1.0,3.0,5.0
2,2.0,3,25-54,1,3.0,1.0,4.0
2,1.0,1,16-24,2,1.0,1.0,5.0
1,2.0,5,55+,1,1.0,1.0,5.0
2,3.0,7,55+,2,,2.0,4.0
2,1.0,2,25-54,1,3.0,1.0,5.0
1,3.0,7,55+,1,1.0,2.0,4.0
2,1.0,2,25-54,2,,1.0,5.0
1,1.0,4,25-54,2,,1.0,4.0
2,1.0,2,25-54,1,1.0,1.0,5.0
1,2.0,4,25-54,1,1.0,3.0,3.0
2,2.0,4,25-54,1,3.0,3.0,3.0
1,2.0,6,55+,1,1.0,2.0,5.0
1,1.0,1,16-24,2,3.0,3.0,4.0
1,2.0,4,25-54,1,1.0,1.0,5.0
2,1.0,5,55+,1,1.0,2.0,5.0
2,2.0,3,25-54,1,1.0,1.0,5.0
2,2.0,3,25-54,1,1.0,1.0,5.0
1,1.0,1,16-24,2,1.0,1.0,5.0
1,1.0,3,25-54,2,3.0,1.0,5.0
2,1.0,1,16-24,2,3.0,3.0,5.0
2,2.0,4,25-54,2,1.0,3.0,5.0
1,4.0,5,55+,1,1.0,3.0,2.0
2,1.0,4,25-54,1,1.0,1.0,3.0
1,2.0,5,55+,1,1.0,1.0,4.0
1,1.0,3,25-54,2,1.0,1.0,4.0
2,2.0,5,55+,1,1.0,1.0,5.0
2,1.0,1,16-24,2,1.0,1.0,3.0
2,2.0,2,25-54,2,3.0,1.0,4.0
2,2.0,3,25-54,2,3.0,3.0,2.0
1,2.0,4,25-54,2,3.0,1.0,3.0
2,3.0,3,25-54,2,1.0,3.0,3.0
1,1.0,1,16-24,2,3.0,1.0,4.0
1,3.0,6,55+,2,1.0,2.0,4.0
2,1.0,4,25-54,2,1.0,1.0,5.0
2,2.0,3,25-54,1,1.0,1.0,5.0
2,2.0,5,55+,1,1.0,1.0,4.0
1,1.0,4,25-54,1,1.0,1.0,5.0
2,3.0,7,55+,2,1.0,2.0,3.0
2,1.0,4,25-54,2,3.0,1.0,5.0
2,1.0,2,25-54,1,3.0,1.0,5.0
1,1.0,1,16-24,2,1.0,1.0,5.0
1,1.0,4,25-54,2,3.0,1.0,5.0
1,2.0,5,55+,1,1.0,1.0,5.0
2,1.0,2,25-54,1,1.0,1.0,5.0
2,2.0,3,25-54,1,1.0,1.0,4.0
2,2.0,6,55+,2,3.0,2.0,4.0
1,1.0,3,25-54,2,3.0,1.0,5.0
1,2.0,4,25-54,2,1.0,1.0,4.0
1,1.0,3,25-54,1,1.0,1.0,5.0
1,1.0,4,25-54,2,3.0,1.0,5.0
1,1.0,3,25-54,1,3.0,1.0,5.0
1,1.0,2,25-54,2,1.0,1.0,5.0
1,,1,16-24,2,,,5.0
1,1.0,2,25-54,2,1.0,1.0,5.0
2,4.0,4,25-54,2,3.0,3.0,4.0
1,1.0,4,25-54,1,1.0,1.0,4.0
2,4.0,6,55+,2,1.0,2.0,4.0
1,1.0,2,25-54,2,1.0,1.0,2.0
1,2.0,3,25-54,2,3.0,1.0,5.0
1,1.0,1,16-24,2,,1.0,5.0
1,1.0,3,25-54,2,1.0,1.0,4.0
1,1.0,2,25-54,2,,1.0,5.0
1,1.0,2,25-54,1,3.0,3.0,5.0
2,1.0,5,55+,2,,1.0,5.0
1,5.0,5,55+,1,1.0,3.0,2.0
1,3.0,5,55+,2,1.0,3.0,2.0
1,2.0,3,25-54,1,3.0,1.0,4.0
1,4.0,5,55+,2,1.0,1.0,3.0
1,2.0,4,25-54,2,1.0,1.0,4.0
1,2.0,6,55+,2,1.0,2.0,4.0
1,1.0,3,25-54,2,3.0,1.0,5.0
1,1.0,4,25-54,1,1.0,1.0,5.0
1,1.0,6,55+,1,1.0,2.0,5.0
1,1.0,6,55+,1,1.0,2.0,4.0
2,2.0,2,25-54,2,3.0,1.0,5.0
2,1.0,2,25-54,1,3.0,3.0,5.0
2,2.0,2,25-54,2,3.0,1.0,4.0
2,1.0,3,25-54,1,1.0,1.0,4.0
2,2.0,4,25-54,1,1.0,1.0,4.0
2,2.0,6,55+,1,1.0,2.0,3.0
2,3.0,3,25-54,2,1.0,3.0,4.0
1,2.0,5,55+,2,3.0,1.0,4.0
1,1.0,4,25-54,2,1.0,1.0,4.0
1,2.0,5,55+,2,3.0,1.0,4.0
1,2.0,5,55+,1,1.0,1.0,4.0
2,3.0,7,55+,2,1.0,2.0,3.0
2,3.0,6,55+,2,1.0,2.0,3.0
1,2.0,5,55+,1,1.0,1.0,5.0
2,2.0,5,55+,1,1.0,1.0,5.0
2,2.0,4,25-54,2,1.0,1.0,3.0
2,1.0,5,55+,2,1.0,1.0,5.0
